Pohlaví,Věk,Kategorie,Body,T-skór
m,12,CD,0,44
m,12,CD,1,50
m,12,CD,2,55
m,12,CD,3,61
m,12,CD,4,67
m,12,CD,5,72
m,12,CD,6,78
m,12,CD,7,84
m,12,CD,8,89
m,12,CD,9,90
m,12,CD,10,90
m,12,CD,11,90
m,12,CD,12,90
m,12,CD,13,90
m,12,CD,14,90
m,12,CD,15,90
m,12,CD,16,90
m,12,CD,17,90
m,12,CD,18,90
m,12,CD,19,90
m,12,CD,20,90
m,12,CD,21,90
m,12,CD,22,90
m,12,CD,23,90
m,12,CD,24,90
m,12,CD,25,90
m,12,CD,26,90
m,12,CD,27,90
m,12,CD,28,90
m,12,CD,29,90
m,12,CD,30,90
m,12,CD,31,90
m,12,CD,32,90
m,12,CD,33,90
m,12,CD,34,90
m,12,CD,35,90
m,12,CD,36,90
m,12,CD,37,90
m,12,CD,38,90
m,12,CD,39,90
m,12,CD,40,90
m,13,CD,0,43
m,13,CD,1,48
m,13,CD,2,52
m,13,CD,3,57
m,13,CD,4,61
m,13,CD,5,66
m,13,CD,6,71
m,13,CD,7,75
m,13,CD,8,80
m,13,CD,9,84
m,13,CD,10,89
m,13,CD,11,90
m,13,CD,12,90
m,13,CD,13,90
m,13,CD,14,90
m,13,CD,15,90
m,13,CD,16,90
m,13,CD,17,90
m,13,CD,18,90
m,13,CD,19,90
m,13,CD,20,90
m,13,CD,21,90
m,13,CD,22,90
m,13,CD,23,90
m,13,CD,24,90
m,13,CD,25,90
m,13,CD,26,90
m,13,CD,27,90
m,13,CD,28,90
m,13,CD,29,90
m,13,CD,30,90
m,13,CD,31,90
m,13,CD,32,90
m,13,CD,33,90
m,13,CD,34,90
m,13,CD,35,90
m,13,CD,36,90
m,13,CD,37,90
m,13,CD,38,90
m,13,CD,39,90
m,13,CD,40,90
m,14,CD,0,43
m,14,CD,1,47
m,14,CD,2,50
m,14,CD,3,53
m,14,CD,4,57
m,14,CD,5,60
m,14,CD,6,64
m,14,CD,7,67
m,14,CD,8,70
m,14,CD,9,74
m,14,CD,10,77
m,14,CD,11,80
m,14,CD,12,84
m,14,CD,13,87
m,14,CD,14,90
m,14,CD,15,90
m,14,CD,16,90
m,14,CD,17,90
m,14,CD,18,90
m,14,CD,19,90
m,14,CD,20,90
m,14,CD,21,90
m,14,CD,22,90
m,14,CD,23,90
m,14,CD,24,90
m,14,CD,25,90
m,14,CD,26,90
m,14,CD,27,90
m,14,CD,28,90
m,14,CD,29,90
m,14,CD,30,90
m,14,CD,31,90
m,14,CD,32,90
m,14,CD,33,90
m,14,CD,34,90
m,14,CD,35,90
m,14,CD,36,90
m,14,CD,37,90
m,14,CD,38,90
m,14,CD,39,90
m,14,CD,40,90
m,15,CD,0,43
m,15,CD,1,47
m,15,CD,2,51
m,15,CD,3,56
m,15,CD,4,60
m,15,CD,5,64
m,15,CD,6,68
m,15,CD,7,73
m,15,CD,8,77
m,15,CD,9,81
m,15,CD,10,85
m,15,CD,11,89
m,15,CD,12,90
m,15,CD,13,90
m,15,CD,14,90
m,15,CD,15,90
m,15,CD,16,90
m,15,CD,17,90
m,15,CD,18,90
m,15,CD,19,90
m,15,CD,20,90
m,15,CD,21,90
m,15,CD,22,90
m,15,CD,23,90
m,15,CD,24,90
m,15,CD,25,90
m,15,CD,26,90
m,15,CD,27,90
m,15,CD,28,90
m,15,CD,29,90
m,15,CD,30,90
m,15,CD,31,90
m,15,CD,32,90
m,15,CD,33,90
m,15,CD,34,90
m,15,CD,35,90
m,15,CD,36,90
m,15,CD,37,90
m,15,CD,38,90
m,15,CD,39,90
m,15,CD,40,90
m,16,CD,0,44
m,16,CD,1,47
m,16,CD,2,51
m,16,CD,3,54
m,16,CD,4,57
m,16,CD,5,61
m,16,CD,6,64
m,16,CD,7,67
m,16,CD,8,71
m,16,CD,9,74
m,16,CD,10,77
m,16,CD,11,81
m,16,CD,12,84
m,16,CD,13,87
m,16,CD,14,90
m,16,CD,15,90
m,16,CD,16,90
m,16,CD,17,90
m,16,CD,18,90
m,16,CD,19,90
m,16,CD,20,90
m,16,CD,21,90
m,16,CD,22,90
m,16,CD,23,90
m,16,CD,24,90
m,16,CD,25,90
m,16,CD,26,90
m,16,CD,27,90
m,16,CD,28,90
m,16,CD,29,90
m,16,CD,30,90
m,16,CD,31,90
m,16,CD,32,90
m,16,CD,33,90
m,16,CD,34,90
m,16,CD,35,90
m,16,CD,36,90
m,16,CD,37,90
