Pohlaví,Věk,Kategorie,Body,T-skór
z,12,AN,0,40
z,12,AN,1,41
z,12,AN,2,43
z,12,AN,3,45
z,12,AN,4,47
z,12,AN,5,50
z,12,AN,6,52
z,12,AN,7,54
z,12,AN,8,56
z,12,AN,9,59
z,12,AN,10,61
z,12,AN,11,63
z,12,AN,12,66
z,12,AN,13,68
z,12,AN,14,70
z,12,AN,15,72
z,12,AN,16,75
z,12,AN,17,77
z,12,AN,18,79
z,12,AN,19,81
z,12,AN,20,84
z,12,AN,21,86
z,12,AN,22,88
z,12,AN,23,90
z,12,AN,24,90
z,12,AN,25,90
z,12,AN,26,90
z,12,AN,27,90
z,12,AN,28,90
z,12,AN,29,90
z,12,AN,30,90
z,12,AN,31,90
z,12,AN,32,90
z,12,AN,33,90
z,12,AN,34,90
z,12,AN,35,90
z,12,AN,36,90
z,12,AN,37,90
z,12,AN,38,90
z,12,AN,39,90
z,12,AN,40,90
z,13,AN,0,40
z,13,AN,1,41
z,13,AN,2,43
z,13,AN,3,45
z,13,AN,4,47
z,13,AN,5,50
z,13,AN,6,52
z,13,AN,7,54
z,13,AN,8,56
z,13,AN,9,59
z,13,AN,10,61
z,13,AN,11,63
z,13,AN,12,66
z,13,AN,13,68
z,13,AN,14,70
z,13,AN,15,72
z,13,AN,16,75
z,13,AN,17,77
z,13,AN,18,79
z,13,AN,19,81
z,13,AN,20,84
z,13,AN,21,86
z,13,AN,22,88
z,13,AN,23,90
z,13,AN,24,90
z,13,AN,25,90
z,13,AN,26,90
z,13,AN,27,90
z,13,AN,28,90
z,13,AN,29,90
z,13,AN,30,90
z,13,AN,31,90
z,13,AN,32,90
z,13,AN,33,90
z,13,AN,34,90
z,13,AN,35,90
z,13,AN,36,90
z,13,AN,37,90
z,13,AN,38,90
z,13,AN,39,90
z,13,AN,40,90
z,14,AN,0,40
z,14,AN,1,42
z,14,AN,2,44
z,14,AN,3,46
z,14,AN,4,48
z,14,AN,5,49
z,14,AN,6,51
z,14,AN,7,53
z,14,AN,8,55
z,14,AN,9,57
z,14,AN,10,59
z,14,AN,11,61
z,14,AN,12,63
z,14,AN,13,64
z,14,AN,14,66
z,14,AN,15,68
z,14,AN,16,70
z,14,AN,17,72
z,14,AN,18,74
z,14,AN,19,76
z,14,AN,20,77
z,14,AN,21,79
z,14,AN,22,81
z,14,AN,23,83
z,14,AN,24,85
z,14,AN,25,87
z,14,AN,26,89
z,14,AN,27,90
z,14,AN,28,90
z,14,AN,29,90
z,14,AN,30,90
z,14,AN,31,90
z,14,AN,32,90
z,14,AN,33,90
z,14,AN,34,90
z,14,AN,35,90
z,14,AN,36,90
z,14,AN,37,90
z,14,AN,38,90
z,14,AN,39,90
z,14,AN,40,90
z,15,AN,0,40
z,15,AN,1,41
z,15,AN,2,43
z,15,AN,3,45
z,15,AN,4,48
z,15,AN,5,50
z,15,AN,6,52
z,15,AN,7,54
z,15,AN,8,56
z,15,AN,9,59
z,15,AN,10,61
z,15,AN,11,63
z,15,AN,12,65
z,15,AN,13,67
z,15,AN,14,70
z,15,AN,15,72
z,15,AN,16,74
z,15,AN,17,76
z,15,AN,18,78
z,15,AN,19,80
z,15,AN,20,83
z,15,AN,21,85
z,15,AN,22,87
z,15,AN,23,89
z,15,AN,24,90
z,15,AN,25,90
z,15,AN,26,90
z,15,AN,27,90
z,15,AN,28,90
z,15,AN,29,90
z,15,AN,30,90
z,15,AN,31,90
z,15,AN,32,90
z,15,AN,33,90
z,15,AN,34,90
z,15,AN,35,90
z,15,AN,36,90
z,15,AN,37,90
z,15,AN,38,90
z,15,AN,39,90
z,15,AN,40,90
z,16,AN,0,42
z,16,AN,1,43
z,16,AN,2,45
z,16,AN,3,47
z,16,AN,4,48
z,16,AN,5,50
z,16,AN,6,52
