Pohlaví,Věk,Kategorie,Body,T-skór
M,13,A,0,18
M,14,A,0,18
M,15,A,0,18
M,16,A,0,18
M,17,A,0,18
M,13,A,1,41
M,14,A,1,41
M,15,A,1,41
M,16,A,1,41
M,17,A,1,41
M,13,A,2,61
M,14,A,2,61
M,15,A,2,61
M,16,A,2,61
M,17,A,2,61
M,13,A,3,76
M,14,A,3,76
M,15,A,3,76
M,16,A,3,76
M,17,A,3,76
M,13,A,4,85
M,14,A,4,85
M,15,A,4,85
M,16,A,4,85
M,17,A,4,85
M,13,A,5,91
M,14,A,5,91
M,15,A,5,91
M,16,A,5,91
M,17,A,5,91
M,13,A,6,95
M,14,A,6,95
M,15,A,6,95
M,16,A,6,95
M,17,A,6,95
M,13,A,7,98
M,14,A,7,98
M,15,A,7,98
M,16,A,7,98
M,17,A,7,98
M,13,A,8,98
M,14,A,8,98
M,15,A,8,98
M,16,A,8,98
M,17,A,8,98
M,13,A,9,98
M,14,A,9,98
M,15,A,9,98
M,16,A,9,98
M,17,A,9,98
M,13,A,10,99
M,14,A,10,99
M,15,A,10,99
M,16,A,10,99
M,17,A,10,99
M,7,A,0,19
M,8,A,0,19
M,9,A,0,19
M,10,A,0,19
M,11,A,0,19
M,12,A,0,19
M,7,A,1,40
M,8,A,1,40
M,9,A,1,40
M,10,A,1,40
M,11,A,1,40
M,12,A,1,40
M,7,A,2,65
M,8,A,2,65
M,9,A,2,65
M,10,A,2,65
M,11,A,2,65
M,12,A,2,65
M,7,A,3,79
M,8,A,3,79
M,9,A,3,79
M,10,A,3,79
M,11,A,3,79
M,12,A,3,79
M,7,A,4,88
M,8,A,4,88
M,9,A,4,88
M,10,A,4,88
M,11,A,4,88
M,12,A,4,88
M,7,A,5,94
M,8,A,5,94
M,9,A,5,94
M,10,A,5,94
M,11,A,5,94
M,12,A,5,94
M,7,A,6,97
M,8,A,6,97
M,9,A,6,97
M,10,A,6,97
M,11,A,6,97
M,12,A,6,97
M,7,A,7,98
M,8,A,7,98
M,9,A,7,98
M,10,A,7,98
M,11,A,7,98
M,12,A,7,98
M,7,A,8,99
M,8,A,8,99
M,9,A,8,99
M,10,A,8,99
