Pohlaví,Věk,Kategorie,Body,T-skór
M,13,A,0,18
M,14,A,0,18
M,15,A,0,18
M,16,A,0,18
M,17,A,0,18
M,13,A,1,41
M,14,A,1,41
M,15,A,1,41
M,16,A,1,41
M,17,A,1,41
M,13,A,2,61
M,14,A,2,61
M,15,A,2,61
M,16,A,2,61
M,17,A,2,61
M,13,A,3,76
M,14,A,3,76
M,15,A,3,76
M,16,A,3,76
M,17,A,3,76
M,13,A,4,85
M,14,A,4,85
M,15,A,4,85
M,16,A,4,85
M,17,A,4,85
M,13,A,5,91
M,14,A,5,91
M,15,A,5,91
M,16,A,5,91
M,17,A,5,91
M,13,A,6,95
M,14,A,6,95
M,15,A,6,95
M,16,A,6,95
M,17,A,6,95
M,13,A,7,98
M,14,A,7,98
M,15,A,7,98
M,16,A,7,98
M,17,A,7,98
M,13,A,8,98
M,14,A,8,98
M,15,A,8,98
M,16,A,8,98
M,17,A,8,98
M,13,A,9,98
M,14,A,9,98
M,15,A,9,98
M,16,A,9,98
M,17,A,9,98
M,13,A,10,99
M,14,A,10,99
M,15,A,10,99
M,16,A,10,99
M,17,A,10,99
