Pohlaví,Věk,Kategorie,Body,T-skór
M,13,B,0,50
M,14,B,0,50
M,15,B,0,50
M,16,B,0,50
M,17,B,0,50
M,13,B,1,78
M,14,B,1,78
M,15,B,1,78
M,16,B,1,78
M,17,B,1,78
M,13,B,2,87
M,14,B,2,87
M,15,B,2,87
M,16,B,2,87
M,17,B,2,87
M,13,B,3,93
M,14,B,3,93
M,15,B,3,93
M,16,B,3,93
M,17,B,3,93
M,13,B,4,95
M,14,B,4,95
M,15,B,4,95
M,16,B,4,95
M,17,B,4,95
M,13,B,5,98
M,14,B,5,98
M,15,B,5,98
M,16,B,5,98
M,17,B,5,98
M,13,B,6,98
M,14,B,6,98
M,15,B,6,98
M,16,B,6,98
M,17,B,6,98
M,13,B,7,98
M,14,B,7,98
M,15,B,7,98
M,16,B,7,98
M,17,B,7,98
M,13,B,8,98
M,14,B,8,98
M,15,B,8,98
M,16,B,8,98
M,17,B,8,98
