Pohlaví,Věk,Kategorie,Body,T-skór
M,7,D,0,12
M,8,D,0,12
M,9,D,0,12
M,10,D,0,12
M,11,D,0,12
M,12,D,0,12
M,7,D,1,26
M,8,D,1,26
M,9,D,1,26
M,10,D,1,26
M,11,D,1,26
M,12,D,1,26
M,7,D,2,42
M,8,D,2,42
M,9,D,2,42
M,10,D,2,42
M,11,D,2,42
M,12,D,2,42
M,7,D,3,57
M,8,D,3,57
M,9,D,3,57
M,10,D,3,57
M,11,D,3,57
M,12,D,3,57
M,7,D,4,71
M,8,D,4,71
M,9,D,4,71
M,10,D,4,71
M,11,D,4,71
M,12,D,4,71
M,7,D,5,81
M,8,D,5,81
M,9,D,5,81
M,10,D,5,81
M,11,D,5,81
M,12,D,5,81
M,7,D,6,88
M,8,D,6,88
M,9,D,6,88
M,10,D,6,88
M,11,D,6,88
M,12,D,6,88
M,7,D,7,91
M,8,D,7,91
M,9,D,7,91
M,10,D,7,91
M,11,D,7,91
M,12,D,7,91
M,7,D,8,94
M,8,D,8,94
M,9,D,8,94
M,10,D,8,94
M,11,D,8,94
M,12,D,8,94
M,7,D,9,97
M,8,D,9,97
M,9,D,9,97
M,10,D,9,97
M,11,D,9,97
M,12,D,9,97
M,7,D,10,98
M,8,D,10,98
M,9,D,10,98
M,10,D,10,98
M,11,D,10,98
M,12,D,10,98
M,7,D,11,99
M,8,D,11,99
M,9,D,11,99
M,10,D,11,99
M,11,D,11,99
M,12,D,11,99
M,7,D,12,99
M,8,D,12,99
M,9,D,12,99
M,10,D,12,99
M,11,D,12,99
M,12,D,12,99
M,7,D,13,99
M,8,D,13,99
M,9,D,13,99
M,10,D,13,99
M,11,D,13,99
M,12,D,13,99
M,7,D,14,99
M,8,D,14,99
M,9,D,14,99
M,10,D,14,99
M,11,D,14,99
M,12,D,14,99
M,7,D,15,99
M,8,D,15,99
M,9,D,15,99
M,10,D,15,99
M,11,D,15,99
M,12,D,15,99
M,7,D,16,99
M,8,D,16,99
M,9,D,16,99
M,10,D,16,99
M,11,D,16,99
M,12,D,16,99
