Pohlaví,Věk,Kategorie,Body,T-skór
Z,13,B,0,60
Z,14,B,0,60
Z,15,B,0,60
Z,16,B,0,60
Z,17,B,0,60
Z,13,B,1,83
Z,14,B,1,83
Z,15,B,1,83
Z,16,B,1,83
Z,17,B,1,83
Z,13,B,2,95
Z,14,B,2,95
Z,15,B,2,95
Z,16,B,2,95
Z,17,B,2,95
Z,13,B,3,96
Z,14,B,3,96
Z,15,B,3,96
Z,16,B,3,96
Z,17,B,3,96
Z,13,B,4,96
Z,14,B,4,96
Z,15,B,4,96
Z,16,B,4,96
Z,17,B,4,96
Z,13,B,5,96
Z,14,B,5,96
Z,15,B,5,96
Z,16,B,5,96
Z,17,B,5,96
Z,13,B,6,96
Z,14,B,6,96
Z,15,B,6,96
Z,16,B,6,96
Z,17,B,6,96
Z,13,B,7,96
Z,14,B,7,96
Z,15,B,7,96
Z,16,B,7,96
Z,17,B,7,96
Z,13,B,8,96
Z,14,B,8,96
Z,15,B,8,96
Z,16,B,8,96
Z,17,B,8,96
