Pohlaví,Věk,Kategorie,Body,T-skór
Z,13,D,0,12
Z,14,D,0,12
Z,15,D,0,12
Z,16,D,0,12
Z,17,D,0,12
Z,13,D,1,25
Z,14,D,1,25
Z,15,D,1,25
Z,16,D,1,25
Z,17,D,1,25
Z,13,D,2,48
Z,14,D,2,48
Z,15,D,2,48
Z,16,D,2,48
Z,17,D,2,48
Z,13,D,3,63
Z,14,D,3,63
Z,15,D,3,63
Z,16,D,3,63
Z,17,D,3,63
Z,13,D,4,72
Z,14,D,4,72
Z,15,D,4,72
Z,16,D,4,72
Z,17,D,4,72
Z,13,D,5,82
Z,14,D,5,82
Z,15,D,5,82
Z,16,D,5,82
Z,17,D,5,82
Z,13,D,6,87
Z,14,D,6,87
Z,15,D,6,87
Z,16,D,6,87
Z,17,D,6,87
Z,13,D,7,90
Z,14,D,7,90
Z,15,D,7,90
Z,16,D,7,90
Z,17,D,7,90
Z,13,D,8,93
Z,14,D,8,93
Z,15,D,8,93
Z,16,D,8,93
Z,17,D,8,93
Z,13,D,9,98
Z,14,D,9,98
Z,15,D,9,98
Z,16,D,9,98
Z,17,D,9,98
Z,13,D,10,98
Z,14,D,10,98
Z,15,D,10,98
Z,16,D,10,98
Z,17,D,10,98
Z,13,D,11,99
Z,14,D,11,99
Z,15,D,11,99
Z,16,D,11,99
Z,17,D,11,99
Z,13,D,12,99
Z,14,D,12,99
Z,15,D,12,99
Z,16,D,12,99
Z,17,D,12,99
Z,13,D,13,99
Z,14,D,13,99
Z,15,D,13,99
Z,16,D,13,99
Z,17,D,13,99
Z,13,D,14,99
Z,14,D,14,99
Z,15,D,14,99
Z,16,D,14,99
Z,17,D,14,99
Z,13,D,15,99
Z,14,D,15,99
Z,15,D,15,99
Z,16,D,15,99
Z,17,D,15,99
Z,13,D,16,99
Z,14,D,16,99
Z,15,D,16,99
Z,16,D,16,99
Z,17,D,16,99
